time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
0,51.519756478508,5.86043085768131,0,0,96.112833784272,96.112833784272,0.328084,0,0,0,27,5,96.112833784272,0,0,0,0,0,0,336.2,3.9,-1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0.1,96.112833784272,0,41,Motors_Started
200,51.5197564732287,5.86043084992318,0,0,96.112833784272,96.112833784272,0.328084,0,0.00261003617276,0.00261003617276,27,5,96.112833784272,0,0,0.00261003617276,0,0,0,336.2,3.9,-1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0.1,96.112833784272,0,41,Motors_Started
400,51.5197564651576,5.8604308526578,0,0,96.112833784272,96.112833784272,0.328084,0,0.005002624832,0.0056194883688,27,5,96.112833784272,0,0,0.005002624832,0,0,0,336.2,3.9,-1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.2,0.1,96.112833784272,0,41,Motors_Started
600,51.5197564478364,5.86043087988095,0,0,96.112833784272,96.112833784272,0,0,0.0122730975056,0.0144588915388,27,5,96.112833784272,0,0,0.0122730975056,0,0,0,336.5,3.9,-1.3,0,0,364,364,364,1684,-100,-100,-100,100,336.3,0.1,96.112833784272,0,41,Motors_Started
800,51.5197564357495,5.86043089763533,0,0,96.112833784272,96.112833784272,0,0,0.0180457354856,0.0204333011788,27,5,96.112833784272,0,0,0.0180457354856,0,0,0,335.8,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,41,Motors_Started
1000,51.519756432961,5.8604309116509,0,0,96.112833784272,96.112833784272,0,0,0.0206464245452,0.0237738852752,27,5,96.112833784272,0,0,0.0206464245452,0,0,0,335.8,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,41,Motors_Started
1200,51.5197564362903,5.86043092561829,0,0,96.112833784272,96.112833784272,0,0,0.0217976713012,0.0271695218668,27,5,96.112833784272,0,0,0.0217976713012,0,0,0,335.8,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,41,Motors_Started
1400,51.5197564383774,5.86043093841025,0,0,96.112833784272,96.112833784272,0,0,0.0234579731916,0.0301718185508,27,5,96.112833784272,0,0,0.0234579731916,0,0,0,335.8,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,41,Motors_Started
1600,51.5197564386858,5.86043096028807,0,0,96.112833784272,96.112833784272,0,0,0.0274540035032,0.035139764904,27,5,96.112833784272,0,0,0.0274540035032,0,0,0,335.9,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,10,Assisted_Takeoff
1800,51.5197564365238,5.86043099097725,0,0,96.112833784272,96.112833784272,0,0,0.033917652004,0.042151576152,27,5,96.112833784272,0,0,0.033917652004,0,0,0,336,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,10,Assisted_Takeoff
2000,51.5197564324855,5.86043099728374,0,0,96.112833784272,96.112833784272,0,0,0.035866470964,0.04420603816,27,5,96.112833784272,0,0,0.035866470964,0,0,0,336,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,10,Assisted_Takeoff
2200,51.5197564282717,5.86043101272858,0,0,96.112833784272,96.112833784272,0,0,0.039685696808,0.04803477844,26,5,96.112833784272,0,0,0.039685696808,0,0,0,336,4,-1.3,0,0,1024,1024,1024,1024,0,0,0,0,336.2,0.1,96.112833784272,0,10,Assisted_Takeoff
