time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
1600,51.5195082119717,5.86065055517611,0,0,95.681252405632,95.681252405632,0.328084,0,0.18261483524,0.22983596536,15,5,95.681252405632,0,0,0.18261483524,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
1700,51.5195081771653,5.8606505063256,0,0,95.681252405632,95.681252405632,0.328084,0,0.199412079872,0.24669620212,15,5,95.681252405632,0,0,0.199412079872,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
1800,51.5195081346858,5.86065045097585,0,0,95.681252405632,95.681252405632,0.328084,0,0.21934547946,0.26664863058,15,5,95.681252405632,0,0,0.21934547946,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
1900,51.5195080799147,5.86065039679206,0,0,95.681252405632,95.681252405632,0.328084,0,0.242729994644,0.290114510596,15,5,95.681252405632,0,0,0.242729994644,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2000,51.5195080194766,5.86065033810536,0,0,95.681252405632,95.681252405632,0.328084,0,0.268404536148,0.315877962864,15,5,95.681252405632,0,0,0.268404536148,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2100,51.5195079598951,5.86065028284596,0,0,95.681252405632,95.681252405632,0.328084,0,0.293390429336,0.3409777012,15,5,95.681252405632,0,0,0.293390429336,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2200,51.519507898037,5.86065022502577,0,0,95.681252405632,95.681252405632,0.328084,0,0.31940781862,0.36708662592,15,5,95.681252405632,0,0,0.31940781862,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2300,51.5195077757571,5.8606501407698,0,0,95.681252405632,95.681252405632,0.328084,0,0.3670931876,0.41562665372,15,5,95.681252405632,0,0,0.3670931876,0,0,0,264.2,-1.3,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2400,51.5195077179051,5.86065008378255,0,0,95.681252405632,95.681252405632,0.328084,0,0.39183728288,0.44038387236,15,5,95.681252405632,0,0,0.39183728288,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2500,51.5195077041414,5.86065003146515,0,0,95.681252405632,95.681252405632,0.328084,0,0.40260171892,0.45327757356,15,5,95.681252405632,0,0,0.40260171892,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2600,51.5195077015034,5.86064997568688,0,0,95.681252405632,95.681252405632,0.328084,0,0.4106299344,0.4659777052,15,5,95.681252405632,0,0,0.4106299344,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2700,51.5195077297276,5.86064993293376,0,0,95.681252405632,95.681252405632,0.328084,0,0.40813321516,0.48013124896,15,5,95.681252405632,0,0,0.4106299344,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2800,51.5195076935566,5.86064987558597,0,0,95.681252405632,95.681252405632,0.328084,0,0.42653544672,0.49866799496,15,5,95.681252405632,0,0,0.42653544672,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
2900,51.5195077242788,5.86064978248939,0,0,95.681252405632,95.681252405632,0.328084,0,0.4312828222,0.52259188024,15,5,95.681252405632,0,0,0.4312828222,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3000,51.5195077747801,5.86064967241289,0,0,95.681252405632,95.681252405632,0.328084,0,0.43484581444,0.55364175,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3100,51.5195079898063,5.86064954548382,0,0,95.681252405632,95.681252405632,0.328084,0,0.4069225852,0.63721786816,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3200,51.5195080184995,5.86064947478218,0,0,95.681252405632,95.681252405632,0.328084,0,0.4146817718,0.6563812546,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3300,51.5195080330871,5.86064946077265,0,0,95.681252405632,95.681252405632,0.328084,0,0.41462927836,0.6625820422,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
3400,51.5195080429588,5.86064945966693,0,0,95.681252405632,95.681252405632,0.328084,0,0.41300526256,0.6661909662,15,5,95.681252405632,0,0,0.43484581444,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
