time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
1600,51.5197583545759,5.86038649824112,0,0,95.967098215304,95.967098215304,0.328084,0,0.048821851956,0.1784366855,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
1700,51.5197583553779,5.86038650247387,0,0,95.967098215304,95.967098215304,0.328084,0,0.048671589484,0.179441278708,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
1800,51.5197583694738,5.86038645584995,0,0,95.967098215304,95.967098215304,0.328084,0,0.04304790164,0.191209323704,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
1900,51.5197583719734,5.86038645999148,0,0,95.967098215304,95.967098215304,0.328084,0,0.042080710008,0.192519035032,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2000,51.5197583746237,5.86038646390241,0,0,95.967098215304,95.967098215304,0.328084,0,0.04107939764,0.1938320272,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2100,51.5197583774938,5.8603864686592,0,0,95.967098215304,95.967098215304,0.328084,0,0.040014436976,0.19533629234,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.4,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2200,51.5197583740977,5.86038645471324,0,0,95.967098215304,95.967098215304,0.328084,0,0.041384843844,0.198736226832,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.2,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2300,51.519758375061,5.86038646429049,0,0,95.967098215304,95.967098215304,0.328084,0,0.040917324144,0.200938654724,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2400,51.5197583754078,5.86038644873284,0,0,95.967098215304,95.967098215304,0.328084,0,0.041040355644,0.204472775572,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2500,51.5197583750862,5.86038640475234,0,0,95.967098215304,95.967098215304,0.328084,0,0.043434712676,0.214458340196,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2600,51.5197582595212,5.86038624465907,0,0,95.967098215304,95.967098215304,0.328084,0,0.097457680284,0.27012468056,19,5,95.967098215304,0,0,0.097457680284,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2700,51.5197582062092,5.86038623181798,0,0,95.967098215304,95.967098215304,0.328084,0,0.115814964336,0.289792988276,19,5,95.967098215304,0,0,0.115814964336,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2800,51.5197581706701,5.86038622917886,0,0,95.967098215304,95.967098215304,0.328084,0,0.127688980464,0.302773303652,19,5,95.967098215304,0,0,0.127688980464,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
2900,51.519758153744,5.86038623750926,0,0,95.967098215304,95.967098215304,0.328084,0,0.1325377339,0.309231637192,19,5,95.967098215304,0,0,0.1325377339,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3000,51.5197581209984,5.86038622646574,0,0,95.967098215304,95.967098215304,0.328084,0,0.14451936158,0.321439314748,18,5,95.967098215304,0,0,0.14451936158,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3100,51.51975802298,5.86038618525774,0,0,95.967098215304,95.967098215304,0.328084,0,0.181214900812,0.35840552328,18,5,95.967098215304,0,0,0.181214900812,0,0,0,218.2,2.4,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3200,51.5197580134601,5.86038614736091,0,0,95.967098215304,95.967098215304,0.328084,0,0.187645347212,0.3676837388,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
3300,51.5197580536232,5.86038609889382,0,0,95.967098215304,95.967098215304,0.328084,0,0.17913550442,0.3860072302,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3400,51.5197580860406,5.86038604867908,0,0,95.967098215304,95.967098215304,0.328084,0,0.174741803492,0.40243439608,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3500,51.519758260903,5.86038583911625,0,0,95.967098215304,95.967098215304,0.328084,0,0.165165359616,0.48201773196,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
3600,51.5197582793492,5.86038580661039,0,0,95.967098215304,95.967098215304,0.328084,0,0.168462275732,0.49200788976,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
3700,51.5197582911041,5.86038580304624,0,0,95.967098215304,95.967098215304,0.328084,0,0.167307091968,0.49637140696,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
3800,51.5197582991348,5.8603857873793,0,0,95.967098215304,95.967098215304,0.328084,0,0.169321199644,0.50098098716,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,10,Assisted_Takeoff
3900,51.5197582956759,5.86038577452789,0,0,95.967098215304,95.967098215304,0.328084,0,0.172499677436,0.50415684028,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4000,51.5197583197745,5.86038576234077,0,0,95.967098215304,95.967098215304,0.328084,0,0.171712932004,0.51337600068,18,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4100,51.5197583702554,5.86038577167794,0,0,95.967098215304,95.967098215304,0.328084,0,0.164008863516,0.53191602752,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4200,51.5197584033275,5.86038578802123,0,0,95.967098215304,95.967098215304,0.328084,0,0.157650595596,0.54454069984,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4300,51.5197584793009,5.86038587656047,0,0,95.967098215304,95.967098215304,0.328084,0,0.134584649976,0.57877954608,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4400,51.5197584845787,5.8603858994297,0,0,95.967098215304,95.967098215304,0.328084,0,0.129365489704,0.584317604,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4500,51.5197584812054,5.8603859228247,0,0,95.967098215304,95.967098215304,0.328084,0,0.12406988586,0.58976707924,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4600,51.5197584975908,5.8603859435212,0,0,95.967098215304,95.967098215304,0.328084,0,0.11941273348,0.59737206636,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.2,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4700,51.5197585384338,5.86038596182468,0,0,95.967098215304,95.967098215304,0.328084,0,0.116705384312,0.61284122696,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.2,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4800,51.5197585842142,5.86038591451667,0,0,95.967098215304,95.967098215304,0.328084,0,0.130819886076,0.63270015148,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
4900,51.5197585898535,5.86038586228064,0,0,95.967098215304,95.967098215304,0.328084,0,0.142798232916,0.64473755344,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5000,51.51975858791,5.86038582688439,0,0,95.967098215304,95.967098215304,0.328084,0,0.150392393264,0.652805139,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5100,51.519758579416,5.86038580925725,0,0,95.967098215304,95.967098215304,0.328084,0,0.153567262132,0.65786419428,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5200,51.519758523479,5.86038577047412,0,0,95.967098215304,95.967098215304,0.328084,0,0.159190621892,0.68009188528,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5300,51.5197585156339,5.86038582835927,0,0,95.967098215304,95.967098215304,0.328084,0,0.145867130652,0.69354004844,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.3,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5400,51.5197585093661,5.8603858709974,0,0,95.967098215304,95.967098215304,0.328084,0,0.136058403304,0.70348755532,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5500,51.519758505755,5.86038589621577,0,0,95.967098215304,95.967098215304,0.328084,0,0.130268376872,0.70936353976,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5600,51.5197584629782,5.86038589406455,0,0,95.967098215304,95.967098215304,0.328084,0,0.130877956944,0.72497705732,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
5700,51.5197584625784,5.86038584778483,0,0,95.967098215304,95.967098215304,0.328084,0,0.141371723684,0.73548558784,19,5,95.967098215304,0,0,0.187645347212,0,0,0,218.2,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.8,0,95.967098215304,0,10,Assisted_Takeoff
