1	1	0.1429	0.0458
9	1	0.0687	0.1334
17	1	-0.0458	0.1429
25	1	-0.1334	0.0687
33	1	-0.1429	-0.0458
41	1	-0.0687	-0.1334
49	1	0.0458	-0.1429
57	1	0.1334	-0.0687
2	2	-0.2065	0.4239
10	2	-0.4457	0.1538
18	2	-0.4239	-0.2065
26	2	-0.1538	-0.4457
34	2	0.2065	-0.4239
42	2	0.4457	-0.1538
50	2	0.4239	0.2065
58	2	0.1538	0.4457
3	3	-0.7813	0.2378
11	3	-0.7206	-0.3843
19	3	-0.2378	-0.7813
27	3	0.3843	-0.7206
35	3	0.7813	-0.2378
43	3	0.7206	0.3843
51	3	0.2378	0.7813
59	3	-0.3843	0.7206
4	4	-1.0503	-0.0914
12	4	-0.6781	-0.8073
20	4	0.0914	-1.0503
28	4	0.8073	-0.6781
36	4	1.0503	0.0914
44	4	0.6781	0.8073
52	4	-0.0914	1.0503
60	4	-0.8073	0.6781
5	5	-1.1766	-0.4143
13	5	-0.539	-1.125
21	5	0.4143	-1.1766
29	5	1.125	-0.539
37	5	1.1766	0.4143
45	5	0.539	1.125
53	5	-0.4143	1.1766
61	5	-1.125	0.539
6	6	-1.2228	-0.7109
14	6	-0.362	-1.3674
22	6	0.7109	-1.2228
30	6	1.3674	-0.362
38	6	1.2228	0.7109
46	6	0.362	1.3674
54	6	-0.7109	1.2228
62	6	-1.3674	0.362
7	7	-1.2191	-0.9794
15	7	-0.1695	-1.5546
23	7	0.9794	-1.2191
31	7	1.5546	-0.1695
39	7	1.2191	0.9794
47	7	0.1695	1.5546
55	7	-0.9794	1.2191
63	7	-1.5546	0.1695
8	8	-1.1822	-1.2216
16	8	0.0279	-1.6998
24	8	1.2216	-1.1822
32	8	1.6998	0.0279
40	8	1.1822	1.2216
48	8	-0.0279	1.6998
56	8	-1.2216	1.1822
64	8	-1.6998	-0.0279
